Initial dataset: DatasetDict({
    train: Dataset({
        features: ['text', 'labels'],
        num_rows: 4508785
    })
    validation: Dataset({
        features: ['text', 'labels'],
        num_rows: 3000
    })
    test: Dataset({
        features: ['text', 'labels'],
        num_rows: 3003
    })
})
Sample before tokenization: {'text': 'Resumption of the session', 'labels': 'Wiederaufnahme der Sitzungsperiode'}
{'loss': 9.7622, 'grad_norm': 43.38770294189453, 'learning_rate': 4.9929027679205115e-05, 'epoch': 0.0}
{'loss': 5.216, 'grad_norm': 40.29744338989258, 'learning_rate': 4.985805535841022e-05, 'epoch': 0.0}
{'loss': 1.8556, 'grad_norm': 6.8984761238098145, 'learning_rate': 4.9787083037615334e-05, 'epoch': 0.0}
{'loss': 1.2499, 'grad_norm': 2.303063154220581, 'learning_rate': 4.971611071682044e-05, 'epoch': 0.01}
{'loss': 0.8817, 'grad_norm': 1.6334807872772217, 'learning_rate': 4.964513839602555e-05, 'epoch': 0.01}
{'loss': 0.7057, 'grad_norm': 0.8388924598693848, 'learning_rate': 4.957416607523066e-05, 'epoch': 0.01}
{'loss': 0.6306, 'grad_norm': 0.47457942366600037, 'learning_rate': 4.950319375443577e-05, 'epoch': 0.01}
{'loss': 0.5767, 'grad_norm': 0.3431130647659302, 'learning_rate': 4.9432221433640884e-05, 'epoch': 0.01}
{'loss': 0.5514, 'grad_norm': 0.3490862548351288, 'learning_rate': 4.936124911284599e-05, 'epoch': 0.01}
{'loss': 0.5624, 'grad_norm': 0.3704177439212799, 'learning_rate': 4.92902767920511e-05, 'epoch': 0.01}
{'loss': 0.5417, 'grad_norm': 0.2764911949634552, 'learning_rate': 4.921930447125621e-05, 'epoch': 0.02}
{'loss': 0.5247, 'grad_norm': 0.28266090154647827, 'learning_rate': 4.914833215046132e-05, 'epoch': 0.02}
{'loss': 0.5062, 'grad_norm': 0.23161324858665466, 'learning_rate': 4.907735982966643e-05, 'epoch': 0.02}
{'loss': 0.5312, 'grad_norm': 0.1678367704153061, 'learning_rate': 4.900638750887154e-05, 'epoch': 0.02}
{'loss': 0.4645, 'grad_norm': 0.16108308732509613, 'learning_rate': 4.893541518807665e-05, 'epoch': 0.02}
{'loss': 0.4978, 'grad_norm': 0.11843353509902954, 'learning_rate': 4.8864442867281765e-05, 'epoch': 0.02}
{'loss': 0.4963, 'grad_norm': 0.13238878548145294, 'learning_rate': 4.879347054648687e-05, 'epoch': 0.02}
{'loss': 0.468, 'grad_norm': 0.11991376429796219, 'learning_rate': 4.8722498225691984e-05, 'epoch': 0.03}
{'loss': 0.471, 'grad_norm': 0.09774240106344223, 'learning_rate': 4.86515259048971e-05, 'epoch': 0.03}
{'loss': 0.485, 'grad_norm': 0.12192447483539581, 'learning_rate': 4.85805535841022e-05, 'epoch': 0.03}
{'loss': 0.4974, 'grad_norm': 0.14052344858646393, 'learning_rate': 4.8509581263307315e-05, 'epoch': 0.03}
{'loss': 0.4935, 'grad_norm': 0.08375371247529984, 'learning_rate': 4.843860894251242e-05, 'epoch': 0.03}
{'loss': 0.4485, 'grad_norm': 0.08682707697153091, 'learning_rate': 4.8367636621717534e-05, 'epoch': 0.03}
{'loss': 0.4874, 'grad_norm': 0.09096743911504745, 'learning_rate': 4.829666430092265e-05, 'epoch': 0.03}
{'loss': 0.4701, 'grad_norm': 0.08933655172586441, 'learning_rate': 4.822569198012775e-05, 'epoch': 0.04}
{'loss': 0.5133, 'grad_norm': 0.07735729217529297, 'learning_rate': 4.8154719659332866e-05, 'epoch': 0.04}
{'loss': 0.4698, 'grad_norm': 0.10472682863473892, 'learning_rate': 4.808374733853797e-05, 'epoch': 0.04}
{'loss': 0.4761, 'grad_norm': 0.07157758623361588, 'learning_rate': 4.8012775017743084e-05, 'epoch': 0.04}
{'loss': 0.483, 'grad_norm': 0.06586761772632599, 'learning_rate': 4.794180269694819e-05, 'epoch': 0.04}
{'loss': 0.466, 'grad_norm': 0.09425655007362366, 'learning_rate': 4.78708303761533e-05, 'epoch': 0.04}
{'loss': 0.4449, 'grad_norm': 0.07135722041130066, 'learning_rate': 4.7799858055358416e-05, 'epoch': 0.04}
{'loss': 0.4945, 'grad_norm': 0.06921868026256561, 'learning_rate': 4.772888573456352e-05, 'epoch': 0.05}
{'loss': 0.4735, 'grad_norm': 0.06501214951276779, 'learning_rate': 4.7657913413768634e-05, 'epoch': 0.05}
{'loss': 0.501, 'grad_norm': 0.07476802915334702, 'learning_rate': 4.758694109297374e-05, 'epoch': 0.05}
{'loss': 0.464, 'grad_norm': 0.06343275308609009, 'learning_rate': 4.751596877217885e-05, 'epoch': 0.05}
